24-03-2026 19:58:52 | POST | cafeteria-api/categorias
24-03-2026 20:00:36 | POST | cafeteria-api/categorias
24-03-2026 20:05:53 | POST | cafeteria-api/categorias
27-03-2026 17:50:23 | GET | cafeteria-api/categorias
27-03-2026 17:50:29 | GET | cafeteria-api/categorias
27-03-2026 19:29:39 | GET | cafeteria-api/categorias
27-03-2026 19:30:16 | GET | cafeteria-api/categorias
27-03-2026 19:31:48 | GET | cafeteria-api/categorias
27-03-2026 19:33:51 | GET | cafeteria-api/categorias
31-03-2026 14:38:59 | GET | cafeteria-api/categorias
31-03-2026 14:40:35 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:54 | GET | cafeteria-api/categorias
31-03-2026 14:41:27 | GET | cafeteria-api/categorias
31-03-2026 15:00:10 | GET | cafeteria-api/categorias
31-03-2026 15:39:57 | GET | cafeteria-api/categorias
31-03-2026 15:40:13 | GET | cafeteria-api/categorias
31-03-2026 15:42:56 | GET | cafeteria-api/categorias
31-03-2026 17:17:56 | GET | cafeteria-api/categorias
31-03-2026 17:17:57 | GET | cafeteria-api/categorias
31-03-2026 17:18:49 | GET | cafeteria-api/categorias
31-03-2026 17:18:51 | POST | cafeteria-api/categorias
31-03-2026 17:18:51 | GET | cafeteria-api/categorias
31-03-2026 17:18:53 | OPTIONS | cafeteria-api/categorias/5
31-03-2026 17:18:53 | DELETE | cafeteria-api/categorias/5
31-03-2026 17:18:53 | GET | cafeteria-api/categorias
31-03-2026 17:21:38 | GET | cafeteria-api/categorias
31-03-2026 17:21:40 | GET | cafeteria-api/categorias
31-03-2026 17:24:26 | GET | cafeteria-api/categorias
31-03-2026 18:34:59 | GET | cafeteria-api/categorias
31-03-2026 18:39:14 | GET | cafeteria-api/categorias
31-03-2026 18:40:27 | GET | cafeteria-api/categorias
31-03-2026 18:43:06 | GET | cafeteria-api/categorias
31-03-2026 18:43:07 | GET | cafeteria-api/categorias
31-03-2026 18:43:08 | GET | cafeteria-api/categorias
31-03-2026 18:43:10 | GET | cafeteria-api/categorias
31-03-2026 18:43:10 | GET | cafeteria-api/categorias
31-03-2026 18:43:31 | GET | cafeteria-api/categorias
31-03-2026 18:43:32 | GET | cafeteria-api/categorias
31-03-2026 18:43:33 | GET | cafeteria-api/categorias
31-03-2026 18:43:33 | GET | cafeteria-api/categorias
31-03-2026 18:45:30 | GET | cafeteria-api/categorias
31-03-2026 18:45:30 | GET | cafeteria-api/categorias
31-03-2026 18:51:44 | GET | cafeteria-api/categorias
31-03-2026 18:52:12 | GET | cafeteria-api/categorias
31-03-2026 18:52:13 | GET | cafeteria-api/categorias
31-03-2026 18:52:13 | GET | cafeteria-api/categorias
31-03-2026 18:52:13 | GET | cafeteria-api/categorias
31-03-2026 18:52:14 | GET | cafeteria-api/categorias
31-03-2026 18:52:14 | GET | cafeteria-api/categorias
31-03-2026 18:52:15 | GET | cafeteria-api/categorias
31-03-2026 18:52:16 | GET | cafeteria-api/categorias
31-03-2026 18:52:16 | GET | cafeteria-api/categorias
31-03-2026 18:52:17 | GET | cafeteria-api/categorias
31-03-2026 18:52:18 | GET | cafeteria-api/categorias
31-03-2026 18:52:18 | GET | cafeteria-api/categorias
31-03-2026 18:52:18 | GET | cafeteria-api/categorias
31-03-2026 18:52:19 | GET | cafeteria-api/categorias
31-03-2026 18:52:19 | GET | cafeteria-api/categorias
31-03-2026 18:52:19 | GET | cafeteria-api/categorias
31-03-2026 18:52:20 | GET | cafeteria-api/categorias
31-03-2026 18:53:16 | GET | cafeteria-api/produtos
31-03-2026 18:53:17 | GET | cafeteria-api/produtos
31-03-2026 18:53:19 | GET | cafeteria-api/produtos
31-03-2026 18:53:48 | GET | cafeteria-api/produtos
31-03-2026 18:53:48 | GET | cafeteria-api/produtos
31-03-2026 18:53:48 | GET | cafeteria-api/produtos
31-03-2026 18:53:50 | GET | cafeteria-api/produtos
31-03-2026 18:53:50 | GET | cafeteria-api/produtos
31-03-2026 18:53:51 | GET | cafeteria-api/produtos
31-03-2026 18:53:51 | GET | cafeteria-api/produtos
31-03-2026 18:53:51 | GET | cafeteria-api/produtos
31-03-2026 18:53:51 | GET | cafeteria-api/produtos
31-03-2026 18:53:52 | GET | cafeteria-api/produtos
31-03-2026 18:53:52 | GET | cafeteria-api/produtos
31-03-2026 18:55:55 | GET | cafeteria-api/produtos
31-03-2026 18:58:53 | GET | cafeteria-api/produtos
31-03-2026 18:59:10 | GET | cafeteria-api/produtos
31-03-2026 18:59:12 | GET | cafeteria-api/categorias
31-03-2026 18:59:12 | GET | cafeteria-api/produtos
31-03-2026 19:02:01 | GET | cafeteria-api/produtos
31-03-2026 19:02:01 | GET | cafeteria-api/produtos
31-03-2026 19:03:38 | GET | cafeteria-api/produtos
31-03-2026 19:03:39 | GET | cafeteria-api/produtos
31-03-2026 19:03:39 | GET | cafeteria-api/produtos
31-03-2026 19:03:39 | GET | cafeteria-api/produtos
31-03-2026 19:03:39 | GET | cafeteria-api/produtos
31-03-2026 19:03:39 | GET | cafeteria-api/produtos
31-03-2026 19:05:32 | GET | cafeteria-api/produtos
31-03-2026 19:06:16 | GET | cafeteria-api/produtos
31-03-2026 19:07:11 | GET | cafeteria-api/produtos
31-03-2026 19:07:12 | GET | cafeteria-api/produtos
31-03-2026 19:07:12 | GET | cafeteria-api/produtos
31-03-2026 19:07:22 | GET | cafeteria-api/produtos
31-03-2026 19:07:23 | GET | cafeteria-api/produtos
31-03-2026 19:08:09 | GET | cafeteria-api/produtos
31-03-2026 19:09:38 | GET | cafeteria-api/produtos
31-03-2026 19:09:46 | GET | cafeteria-api/categorias
31-03-2026 19:09:47 | GET | cafeteria-api/produtos
31-03-2026 19:12:33 | GET | cafeteria-api/produtos
31-03-2026 19:13:26 | GET | cafeteria-api/produtos
31-03-2026 19:15:17 | GET | cafeteria-api/produtos
31-03-2026 19:15:42 | GET | cafeteria-api/produtos
31-03-2026 19:19:03 | GET | cafeteria-api/produtos
31-03-2026 19:19:06 | POST | cafeteria-api/produtos
31-03-2026 19:19:07 | POST | cafeteria-api/produtos
31-03-2026 19:21:36 | GET | cafeteria-api/produtos
31-03-2026 19:21:50 | POST | cafeteria-api/produtos
31-03-2026 19:21:51 | POST | cafeteria-api/produtos
31-03-2026 19:21:51 | POST | cafeteria-api/produtos
31-03-2026 19:21:51 | POST | cafeteria-api/produtos
31-03-2026 19:21:51 | POST | cafeteria-api/produtos
31-03-2026 19:21:51 | POST | cafeteria-api/produtos
31-03-2026 19:21:51 | POST | cafeteria-api/produtos
31-03-2026 19:21:51 | POST | cafeteria-api/produtos
31-03-2026 19:21:51 | POST | cafeteria-api/produtos
31-03-2026 19:21:52 | POST | cafeteria-api/produtos
31-03-2026 19:25:34 | GET | cafeteria-api/produtos
31-03-2026 19:25:37 | POST | cafeteria-api/produtos
31-03-2026 19:25:37 | POST | cafeteria-api/produtos
31-03-2026 19:25:37 | POST | cafeteria-api/produtos
31-03-2026 19:25:37 | POST | cafeteria-api/produtos
31-03-2026 19:25:37 | POST | cafeteria-api/produtos
31-03-2026 19:25:38 | POST | cafeteria-api/produtos
31-03-2026 19:25:38 | POST | cafeteria-api/produtos
31-03-2026 19:25:38 | POST | cafeteria-api/produtos
31-03-2026 19:25:38 | POST | cafeteria-api/produtos
