2026-04-10 04:40:01 | GET | meus-planos-api/categorias
2026-04-10 04:40:08 | OPTIONS | meus-planos-api/categorias
2026-04-10 04:40:08 | POST | meus-planos-api/categorias
2026-04-10 04:42:00 | GET | meus-planos-api/categorias
2026-04-10 04:42:06 | OPTIONS | meus-planos-api/categorias
2026-04-10 04:42:06 | POST | meus-planos-api/categorias
2026-04-10 04:42:06 | GET | meus-planos-api/categorias
2026-04-10 04:42:12 | GET | meus-planos-api/itens
2026-04-10 04:42:12 | GET | meus-planos-api/categorias
2026-04-10 04:42:24 | OPTIONS | meus-planos-api/itens
2026-04-10 04:42:24 | POST | meus-planos-api/itens
2026-04-10 04:42:24 | GET | meus-planos-api/itens
2026-04-10 04:57:25 | GET | meus-planos-api/categorias
2026-04-10 04:57:30 | GET | meus-planos-api/categorias
2026-04-10 04:57:30 | GET | meus-planos-api/itens
2026-04-10 04:58:34 | GET | meus-planos-api/categorias
2026-04-10 04:58:34 | GET | meus-planos-api/itens
2026-04-10 05:01:26 | GET | meus-planos-api/categorias
2026-04-10 05:01:26 | GET | meus-planos-api/itens
2026-04-10 05:01:29 | GET | meus-planos-api/categorias
2026-04-10 05:04:43 | GET | meus-planos-api/categorias
2026-04-10 05:04:45 | GET | meus-planos-api/categorias
2026-04-10 05:04:45 | GET | meus-planos-api/itens
2026-04-10 05:05:15 | GET | meus-planos-api/categorias
2026-04-10 14:21:00 | GET | meus-planos-api/categorias
2026-04-10 14:21:00 | GET | meus-planos-api/categorias
2026-04-10 14:21:04 | POST | meus-planos-api/categorias
2026-04-10 14:21:04 | GET | meus-planos-api/categorias
2026-04-10 14:21:06 | OPTIONS | meus-planos-api/categorias/1
2026-04-10 14:21:06 | DELETE | meus-planos-api/categorias/1
2026-04-10 14:21:06 | GET | meus-planos-api/categorias
2026-04-10 14:21:29 | GET | meus-planos-api/categorias
2026-04-10 14:21:32 | POST | meus-planos-api/categorias
2026-04-10 14:21:32 | GET | meus-planos-api/categorias
2026-04-10 14:21:34 | POST | meus-planos-api/categorias
2026-04-10 14:21:34 | GET | meus-planos-api/categorias
2026-04-10 14:21:35 | OPTIONS | meus-planos-api/categorias/3
2026-04-10 14:21:35 | DELETE | meus-planos-api/categorias/3
2026-04-10 14:21:35 | GET | meus-planos-api/categorias
2026-04-10 14:21:57 | GET | meus-planos-api/categorias
2026-04-10 14:26:21 | GET | meus-planos-api/categorias
2026-04-10 14:26:22 | GET | meus-planos-api/categorias
2026-04-10 14:26:22 | GET | meus-planos-api/itens
2026-04-10 14:28:52 | GET | meus-planos-api/categorias
2026-04-10 14:28:52 | GET | meus-planos-api/itens
2026-04-10 14:28:56 | POST | meus-planos-api/itens
2026-04-10 14:28:56 | GET | meus-planos-api/itens
2026-04-10 14:28:59 | GET | meus-planos-api/categorias
2026-04-10 14:28:59 | GET | meus-planos-api/itens
2026-04-10 14:29:00 | GET | meus-planos-api/itens
rias
2026-04-10 14:29:10 | POST | meus-planos-api/itens
2026-04-10 14:29:10 | GET | meus-planos-api/itens
2026-04-10 14:29:14 | POST | meus-planos-api/itens
2026-04-10 14:29:14 | GET | meus-planos-api/itens
2026-04-10 14:29:35 | GET | meus-planos-api/categorias
2026-04-10 14:29:41 | GET | meus-planos-api/categorias
2026-04-10 14:29:41 | GET | meus-planos-api/itens
2026-04-10 14:34:57 | GET | meus-planos-api/categorias
2026-04-10 14:34:59 | POST | meus-planos-api/categorias
2026-04-10 14:34:59 | GET | meus-planos-api/categorias
2026-04-10 14:35:00 | GET | meus-planos-api/categorias
2026-04-10 14:35:00 | GET | meus-planos-api/itens
2026-04-10 14:40:42 | GET | meus-planos-api/categorias
2026-04-10 14:41:27 | GET | meus-planos-api/categorias
2026-04-10 14:41:27 | GET | meus-planos-api/itens
2026-04-10 14:41:29 | POST | meus-planos-api/itens
2026-04-10 14:41:29 | GET | meus-planos-api/itens
2026-04-10 14:44:56 | GET | meus-planos-api/categorias
2026-04-10 14:44:56 | GET | meus-planos-api/itens
2026-04-10 14:45:03 | POST | meus-planos-api/itens
2026-04-10 14:45:03 | GET | meus-planos-api/itens
2026-04-10 14:45:03 | POST | meus-planos-api/itens
2026-04-10 14:45:03 | GET | meus-planos-api/itens
2026-04-10 14:45:03 | POST | meus-planos-api/itens
2026-04-10 14:45:03 | GET | meus-planos-api/itens
2026-04-10 14:45:05 | GET | meus-planos-api/categorias
2026-04-10 14:45:05 | GET | meus-planos-api/itens
2026-04-10 14:45:11 | POST | meus-planos-api/itens
2026-04-10 14:45:11 | GET | meus-planos-api/itens
2026-04-10 14:45:39 | GET | meus-planos-api/categorias
2026-04-10 14:45:39 | GET | meus-planos-api/itens
2026-04-10 14:45:40 | GET | meus-planos-api/categorias
2026-04-10 14:45:41 | GET | meus-planos-api/categorias
2026-04-10 14:45:41 | GET | meus-planos-api/itens
2026-04-10 14:45:41 | GET | meus-planos-api/categorias
2026-04-10 14:45:42 | GET | meus-planos-api/categorias
2026-04-10 14:45:42 | GET | meus-planos-api/itens
2026-04-10 14:45:42 | GET | meus-planos-api/categorias
2026-04-10 14:45:42 | GET | meus-planos-api/itens
2026-04-10 14:45:42 | GET | meus-planos-api/categorias
